,!,*,/,+,-,==,!=,<,>,<=,>=,??,i,(,),$
!,-,>,>,>,>,>,>,>,>,>,>,>,<,-,>,>
*,<,-,>,>,>,>,>,>,>,>,>,>,<,-,>,>
/,<,>,-,>,>,>,>,>,>,>,>,>,<,-,>,>
+,<,>,>,-,>,>,>,>,>,>,>,>,<,-,>,>
-,<,>,>,>,-,>,>,>,>,>,>,>,<,-,>,>
==,<,<,<,<,<,-,-,-,-,-,-,>,<,-,>,>
!=,<,<,<,<,<,-,-,-,-,-,-,>,<,-,>,>
<,<,<,<,<,<,-,-,-,-,-,-,>,<,-,>,>
>,<,<,<,<,<,-,-,-,-,-,-,>,<,-,>,>
<=,<,<,<,<,<,-,-,-,-,-,-,>,<,-,>,>
>=,<,<,<,<,<,-,-,-,-,-,-,>,<,-,>,>
??,<,<,<,<,<,<,<,<,<,<,<,-,<,-,>,>
i,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>
(,<,<,<,<,<,<,<,<,<,<,<,<,<,<,=,>
),-,-,-,-,-,-,-,-,-,-,-,-,<,-,>,>
$,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,-

